=== society-table11.xlsx ===
Cell A1 | value='Table 1.
Number of persons with Social Security (OASDI) taxable earnings, amount taxable, and contributions, by state or other area, sex, and type of earnings, 2020' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | col_header=True | row_header=True | metadata=True
Cell A2 | value='State or area,
and sex' | fill=FFFFFF00 | rows=[1, 2] | cols=[0, 1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell B14 | value='Men' | fill=FF00B050 | rows=[13] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E14 | value='1882779' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='1769170' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='197519' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='91828698' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='86890230' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='4938468' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='11386759' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='10774389' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='612370' | fill=00000000 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Women' | fill=FF00B050 | rows=[14] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E15 | value='1759049' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='1667731' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='174049' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='66719364' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='63889749' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='2829615' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='8273201' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='7922329' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='350872' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Arkansas' | fill=FF00B050 | rows=[15] | cols=[0, 1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E16 | value='1518249' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='1427374' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='161068' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='55433459' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='52461353' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='2972107' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='6873749' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='6505208' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='368541' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Men' | fill=FF00B050 | rows=[16] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E17 | value='762350' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='708951' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='89621' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='31871325' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='29910302' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='1961023' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='3952044' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='3708877' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='243167' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Women' | fill=FF00B050 | rows=[17] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E18 | value='755899' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='718423' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='71447' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='23562135' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='22551051' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='1011084' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='2921705' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='2796330' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='125374' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A19 | value='California' | fill=FF00B050 | rows=[18] | cols=[0, 1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E19 | value='19430462' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='18023616' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='2292027' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='956041350' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='901702711' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='54338639' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='118549127' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='111811136' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='6737991' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Men' | fill=FF00B050 | rows=[19] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E20 | value='10172767' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='9371274' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='1284806' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='560223600' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='525221625' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='35001974' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='69467726' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='65127482' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='4340245' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Women' | fill=FF00B050 | rows=[20] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E21 | value='9257695' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='8652342' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='1007221' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='395817751' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='376481086' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='19336665' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='49081401' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='46683655' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='2397746' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Colorado' | fill=FF00B050 | rows=[21] | cols=[0, 1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E22 | value='3080428' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='2882247' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='368037' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='146848315' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='138265488' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='8582828' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='18209191' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='17144920' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='1064271' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Men' | fill=FF00B050 | rows=[22] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E23 | value='1659302' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='1551219' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='196065' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='89843678' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='84378616' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='5465062' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='11140616' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='10462948' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='677668' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Women' | fill=FF00B050 | rows=[23] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E24 | value='1421126' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='1331028' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='171972' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='57004637' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='53886872' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='3117766' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='7068575' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='6681972' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='386603' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Connecticut' | fill=FF00B050 | rows=[24] | cols=[0, 1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E25 | value='1983547' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='1863378' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='210188' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='101012892' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='94233265' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='6779627' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='12525599' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='11684925' | fill=00000000 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='840674' | fill=00000000 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Men' | fill=FF00B050 | rows=[25] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E26 | value='1009068' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='936374' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='119633' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='58695597' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='54086512' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='4609085' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='7278254' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='6706727' | fill=00000000 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='571527' | fill=00000000 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Women' | fill=FF00B050 | rows=[26] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E27 | value='974479' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='927004' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
